Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,Spatial_resolution_m,Resolution_class,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Best_model,Training_samples,Study_scale,AGB_unit,RMSE
M1,S1,Betul,Indirabai & Nilsson 2024,2024,Ecological Informatics,India,South-Asia,Tropical,Deciduous forest,Hilly,Yes,GEDI Multi-level,100,Medium,LiDAR+Optical,Yes,Statistical,Linear Regression,Yes,112,Local,Mg/ha,13.9
M2,S1,Mudumalai,Indirabai & Nilsson 2024,2024,Ecological Informatics,India,South-Asia,Tropical,Deciduous forest,Hilly,Yes,GEDI Multi-level,100,Medium,LiDAR+Optical,Yes,Statistical,Linear Regression,No,52,Local,Mg/ha,29.1
M3,S2,GB-AJK-Mountain,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,No,540,Regional,Mg/ha,95.0
M4,S2,GB-AJK-Mountain,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,Yes,540,Regional,Mg/ha,39.6
M5,S2,Mangrove-Pakistan,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Tropical,Mangrove,Coastal,Yes,GEDI L4A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,No,54,Regional,Mg/ha,8.4
M6,S2,Mangrove-Pakistan,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Tropical,Mangrove,Coastal,Yes,GEDI L2A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,Yes,54,Regional,Mg/ha,4.1
M12,S4,Lope-Gabon,Liu et al. 2024,2024,International Journal of Remote Sensing,Gabon,Central-Africa,Tropical,Tropical moist forest,Mountainous,Yes,GEDI Multi-level,50,Medium,SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,745,Local,Mg/ha,115.3
M13,S4,Mondah-Gabon,Liu et al. 2024,2024,International Journal of Remote Sensing,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI Multi-level,50,Medium,SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,314,Local,Mg/ha,117.8
M14,S5,Xinping-County,Yang et al. 2025a,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2B,25,Fine,LiDAR-only,No,Machine-learning,Random Forest,No,34,Regional,Mg/ha,8.21
M15,S5,Xinping-County,Yang et al. 2025a,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2B,25,Fine,LiDAR-only,No,Machine-learning,SVM,No,34,Regional,Mg/ha,15.07
